overlay,id_exp_icpms,name_isotope_analyte,name_isotope_internalstandard,id_data_icpms,t_delaycorrected__timestamp_sfc_pc_synchronized__s,dm_dt_S__ng_s_cm2geo_fc_top_cell_Aideal
first,190,Ti47,Sc45,49484,70.431789,0.009281027273045405
first,190,Ti47,Sc45,49485,70.63589,0.007678393776405561
first,190,Ti47,Sc45,49486,70.839992,0.0108838126545481
first,190,Ti47,Sc45,49487,71.044093,0.009426872616165767
first,190,Ti47,Sc45,49488,71.248195,0.0075328216097613745
first,190,Ti47,Sc45,49489,71.452296,0.008844168720749624
first,190,Ti47,Sc45,49490,71.655421,0.009135616776535023
first,190,Ti47,Sc45,49491,71.859523,0.010301277975961046
first,190,Ti47,Sc45,49492,72.063625,0.011321245731538363
first,190,Ti47,Sc45,49493,72.267726,0.009718571950067692
first,190,Ti47,Sc45,49494,72.471828,0.012632687796997446
first,190,Ti47,Sc45,49495,72.675929,0.008261634231360523
first,190,Ti47,Sc45,49496,72.880031,0.010447244611914902
first,190,Ti47,Sc45,49497,73.084132,0.0078246090855019
first,190,Ti47,Sc45,49498,73.288234,0.010447350613141984
first,190,Ti47,Sc45,49499,73.492335,0.011030227658197592
first,190,Ti47,Sc45,49500,73.69546,0.00855327137015205
first,190,Ti47,Sc45,49501,73.899562,0.008261903061231032
first,190,Ti47,Sc45,49502,74.103664,0.010738977920763752
first,190,Ti47,Sc45,49503,74.307765,0.008990533656972909
first,190,Ti47,Sc45,49504,74.511867,0.011467629827671992
first,190,Ti47,Sc45,49505,74.715968,0.008407791577338569
first,190,Ti47,Sc45,49506,74.92007,0.010884904141668473
first,190,Ti47,Sc45,49507,75.124171,0.008262171903199438
first,190,Ti47,Sc45,49508,75.328273,0.009573615070425468
first,190,Ti47,Sc45,49509,75.532375,0.010302222173084907
first,190,Ti47,Sc45,49510,75.7355,0.011613682827324024
first,190,Ti47,Sc45,49511,75.939601,0.014820874140788438
first,190,Ti47,Sc45,49512,76.143703,0.009136674634951063
first,190,Ti47,Sc45,49513,76.347804,0.009719577367775773
first,190,Ti47,Sc45,49514,76.551906,0.011031055510269895
